season,home_away_attendance,home_away_games,home_away_average,home_away_change,finals_attendance,finals_games,finals_average,finals_change,overall_attendance,overall_games,overall_average,overall_change,covid_affected,included_in_main_analysis
1921,1175408,72,16325,,165450.0,4.0,41363.0,,1340858,76,17643,,False,False
1922,1324792,72,18400,12.7,207278.0,4.0,51820.0,25.3,1532070,76,20159,14.3,False,False
1923,1331426,72,18492,0.5,213462.0,4.0,53366.0,3.0,1544888,76,20327,0.8,False,False
1924,1475541,72,20494,10.8,170732.0,6.0,28455.0,-46.7,1646273,78,21106,3.8,False,False
1925,1645904,102,16136,-21.3,225432.0,4.0,56358.0,98.1,1871336,106,17654,-16.4,False,False
1926,1762099,108,16316,1.1,204742.0,4.0,51186.0,-9.2,1966841,112,17561,-0.5,False,False
1927,1723302,108,15957,-2.2,138766.0,3.0,46255.0,-9.6,1862068,111,16775,-4.5,False,False
1928,1853427,108,17161,7.6,200005.0,4.0,50001.0,8.1,2053432,112,18334,9.3,False,False
1929,1678002,108,15537,-9.5,233539.0,4.0,58385.0,16.8,1911541,112,17067,-6.9,False,False
1930,1701958,108,15759,1.4,174720.0,4.0,43680.0,-25.2,1876678,112,16756,-1.8,False,False
1931,1588417,108,14708,-6.7,196858.0,4.0,49215.0,12.7,1785275,112,15940,-4.9,False,False
1932,1646267,108,15243,3.6,230706.0,4.0,57677.0,17.2,1876973,112,16759,5.1,False,False
1933,1729173,108,16011,5.0,213407.0,4.0,53352.0,-7.5,1942580,112,17344,3.5,False,False
1934,1715816,108,15887,-0.8,183691.0,4.0,45923.0,-13.9,1899507,112,16960,-2.2,False,False
1935,1699478,108,15736,-1.0,203870.0,4.0,50968.0,11.0,1903348,112,16994,0.2,False,False
1936,1569919,108,14536,-7.6,234516.0,4.0,58629.0,15.0,1804435,112,16111,-5.2,False,False
1937,1548506,108,14338,-1.4,233549.0,4.0,58387.0,-0.4,1782055,112,15911,-1.2,False,False
1938,1687600,108,15626,9.0,291330.0,4.0,72833.0,24.7,1978930,112,17669,11.0,False,False
1939,1644230,108,15224,-2.6,251145.0,4.0,62786.0,-13.8,1895375,112,16923,-4.2,False,False
1940,1380318,108,12781,-16.1,216628.0,4.0,54157.0,-13.7,1596946,112,14258,-15.7,False,False
1941,1258408,108,11652,-8.8,263596.0,4.0,65899.0,21.7,1522004,112,13589,-4.7,False,False
1942,659000,80,8238,-29.3,132000.0,4.0,33000.0,-49.9,791000,84,9417,-30.7,False,False
1943,837750,80,10472,27.1,133409.0,4.0,33352.0,1.1,971159,84,11561,22.8,False,False
1944,1423750,108,13183,25.9,137542.0,4.0,34386.0,3.1,1561292,112,13940,20.6,False,False
1945,1719500,120,14329,8.7,205361.0,4.0,51340.0,49.3,1924861,124,15523,11.4,False,False
1946,2053628,114,18014,25.7,336234.0,5.0,67247.0,31.0,2389862,119,20083,29.4,False,False
1947,2048054,114,17965,-0.3,299486.0,4.0,74872.0,11.3,2347540,118,19894,-0.9,False,False
1948,2056513,114,18040,0.4,345833.0,5.0,69167.0,-7.6,2402346,119,20188,1.5,False,False
1949,1917697,114,16822,-6.8,296557.0,4.0,74139.0,7.2,2214254,118,18765,-7.0,False,False
1950,2102001,108,19463,15.7,289658.0,4.0,72415.0,-2.3,2391659,112,21354,13.8,False,False
1951,2081455,108,19273,-1.0,276129.0,4.0,69032.0,-4.7,2357584,112,21050,-1.4,False,False
1952,2249514,114,19733,2.4,272439.0,4.0,68110.0,-1.3,2521953,118,21372,1.5,False,False
1953,2080116,108,19260,-2.4,287533.0,4.0,71883.0,5.5,2367649,112,21140,-1.1,False,False
1954,2437801,108,22572,17.2,239734.0,4.0,59934.0,-16.6,2677535,112,23907,13.1,False,False
1955,2368331,108,21929,-2.8,285807.0,4.0,71452.0,19.2,2654138,112,23698,-0.9,False,False
1956,2380254,108,22039,0.5,381088.0,4.0,95272.0,33.3,2761342,112,24655,4.0,False,False
1957,2551829,108,23628,7.2,314101.0,4.0,78525.0,-17.6,2865930,112,25589,3.8,False,False
1958,2395479,108,22180,-6.1,321175.0,4.0,80294.0,2.3,2716654,112,24256,-5.2,False,False
1959,2383217,108,22067,-0.5,328422.0,4.0,82106.0,2.3,2711639,112,24211,-0.2,False,False
1960,2292457,108,21226,-3.8,323763.0,4.0,80941.0,-1.4,2616220,112,23359,-3.5,False,False
1961,2627084,108,24325,14.6,368208.0,4.0,92052.0,13.7,2995292,112,26744,14.5,False,False
1962,2720209,108,25187,3.5,463578.0,5.0,92716.0,0.7,3183787,113,28175,5.4,False,False
1963,2738533,108,25357,0.7,368140.0,4.0,92035.0,-0.7,3106673,112,27738,-1.6,False,False
1964,2536965,108,23490,-7.4,374803.0,4.0,93701.0,1.8,2911768,112,25998,-6.3,False,False
1965,2548698,108,23599,0.5,388460.0,4.0,97115.0,3.6,2937158,112,26225,0.9,False,False
1966,2567643,108,23774,0.7,384887.0,4.0,96222.0,-0.9,2952530,112,26362,0.5,False,False
1967,2428002,108,22482,-5.4,395704.0,4.0,98926.0,2.8,2823706,112,25212,-4.4,False,False
1968,2425905,120,20216,-10.1,425727.0,4.0,106432.0,7.6,2851632,124,22997,-8.8,False,False
1969,2486795,120,20723,2.5,436221.0,4.0,109055.0,2.5,2923016,124,23573,2.5,False,False
1970,2874937,132,21780,5.1,446988.0,4.0,111747.0,2.5,3321925,136,24426,3.6,False,False
1971,2906157,132,22016,1.1,420279.0,4.0,105070.0,-6.0,3326436,136,24459,0.1,False,False
1972,2934919,132,22234,1.0,591929.0,7.0,84561.0,-19.5,3526848,139,25373,3.7,False,False
1973,2836694,132,21490,-3.3,501954.0,6.0,83659.0,-1.1,3338648,138,24193,-4.7,False,False
1974,2763653,132,20937,-2.6,479947.0,6.0,79991.0,-4.4,3243600,138,23504,-2.8,False,False
1975,2755765,132,20877,-0.3,450251.0,6.0,75042.0,-6.2,3206016,138,23232,-1.2,False,False
1976,2863112,132,21690,3.9,425358.0,6.0,70893.0,-5.5,3288470,138,23829,2.6,False,False
1977,2773007,132,21008,-3.1,531214.0,7.0,75888.0,7.0,3304221,139,23771,-0.2,False,False
1978,3024872,132,22916,9.1,453143.0,6.0,75524.0,-0.5,3478015,138,25203,6.0,False,False
1979,3096945,132,23462,2.4,477336.0,6.0,79556.0,5.3,3574281,138,25901,2.8,False,False
1980,3280129,132,24849,5.9,490788.0,6.0,81798.0,2.8,3770917,138,27325,5.5,False,False
1981,3354023,132,25409,2.3,476208.0,6.0,79368.0,-3.0,3830231,138,27755,1.6,False,False
1982,3264284,132,24729,-2.7,417272.0,6.0,69545.0,-12.4,3681556,138,26678,-3.9,False,False
1983,3217578,132,24376,-1.4,420439.0,6.0,70073.0,0.8,3638017,138,26362,-1.2,False,False
1984,2951247,132,22358,-8.3,443324.0,6.0,73887.0,5.4,3394571,138,24598,-6.7,False,False
1985,2727217,132,20661,-7.6,385956.0,6.0,64326.0,-12.9,3113173,138,22559,-8.3,False,False
1986,2971897,132,22514,9.0,423714.0,6.0,70619.0,9.8,3395611,138,24606,9.1,False,False
1987,2990212,154,19417,-13.8,429057.0,6.0,71510.0,1.3,3419269,160,21370,-13.1,False,False
1988,3092679,154,20082,3.4,436199.0,6.0,72700.0,1.7,3528878,160,22055,3.2,False,False
1989,3145126,154,20423,1.7,436696.0,6.0,72783.0,0.1,3581822,160,22386,1.5,False,False
1990,3587495,154,23295,14.1,475790.0,7.0,67970.0,-6.6,4063285,161,25238,12.7,False,False
1991,3797177,165,23013,-1.2,381707.0,7.0,54530.0,-19.8,4178884,172,24296,-3.7,False,False
1992,4332917,165,26260,14.1,481348.0,7.0,68764.0,26.1,4814265,172,27990,15.2,False,False
1993,4185388,150,27903,6.3,472101.0,7.0,67443.0,-1.9,4657489,157,29666,6.0,False,False
1994,4723023,165,28624,2.6,514375.0,9.0,57153.0,-15.3,5237398,174,30100,1.5,False,False
1995,5117774,176,29078,1.6,594919.0,9.0,66102.0,15.7,5712693,185,30879,2.6,False,False
1996,5216148,176,29637,1.9,478773.0,9.0,53197.0,-19.5,5694921,185,30783,-0.3,False,False
1997,5842591,176,33197,12.0,561223.0,9.0,62358.0,17.2,6403814,185,34615,12.4,False,False
1998,6119164,176,34768,4.7,572733.0,9.0,63637.0,2.1,6691897,185,36172,4.5,False,False
1999,5771579,176,32793,-5.7,472007.0,9.0,52445.0,-17.6,6243586,185,33749,-6.7,False,False
2000,5740811,176,32618,-0.5,566562.0,9.0,62951.0,20.0,6307373,185,34094,1.0,False,False
2001,5921117,176,33643,3.1,526443.0,9.0,58494.0,-7.1,6447560,185,34852,2.2,False,False
2002,5643542,176,32066,-4.7,449445.0,9.0,49938.0,-14.6,6092987,185,32935,-5.5,False,False
2003,5873320,176,33371,4.1,478335.0,9.0,53148.0,6.4,6351655,185,34333,4.2,False,False
2004,5909836,176,33579,0.6,458461.0,9.0,50940.0,-4.2,6368297,185,34423,0.3,False,False
2005,6283788,176,35703,6.3,480064.0,9.0,53340.0,4.7,6763852,185,36561,6.2,False,False
2006,6204056,176,35250,-1.3,532178.0,9.0,59131.0,10.9,6736234,185,36412,-0.4,False,False
2007,6475521,176,36793,4.4,574424.0,9.0,63825.0,7.9,7049945,185,38108,4.7,False,False
2008,6511255,176,36996,0.6,571760.0,9.0,63529.0,-0.5,7083015,185,38287,0.5,False,False
2009,6370401,176,36195,-2.2,615283.0,9.0,68365.0,7.6,6985684,185,37760,-1.4,False,False
2010,6495814,176,36908,2.0,650924.0,10.0,65092.0,-4.8,7146738,186,38423,1.8,False,False
2011,6525071,187,34893,-5.5,614783.0,9.0,68309.0,4.9,7139854,196,36428,-5.2,False,False
2012,6238876,198,31509,-9.7,539948.0,9.0,59994.0,-12.2,6778824,207,32748,-10.1,False,True
2013,6368346,198,32163,2.1,558034.0,9.0,62004.0,3.3,6926380,207,33461,2.2,False,True
